Tên đối tác,Dòng nhạc,Team sử dụng,Số bài hát,Đơn vị tiền tệ,CP tháng 1,CP tháng 2,CP tháng 3,CP tháng 4,CP tháng 5,CP tháng 6,CP tháng 7,CP tháng 8,CP tháng 9,CP tháng 10,CP tháng 11,CP tháng 12,Total năm,_year,_source_id,_source_sheet,_batch_id,_loaded_at
Lofi Jazz Records,Lofi,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Street Phonk' Records,Phonk,"","",VND,0,26.000.000,26.000.000,0,19.500.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,0,0,136.500.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Aurorian ' Records,Phonk,"","",VND,0,0,0,0,7.800.000,0,7.800.000,7.800.000,7.800.000,7.800.000,7.800.000,7.800.000,54.600.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Ardie Son,Relax,An Tuệ & Vibe,28,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Selah Instrumental Music,Phúc Âm,An Tuệ & Vibe,54,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Breath Of Heaven,Phúc Âm,An Tuệ,72,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Road Story Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,52.000.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Natural Deep (RA music),Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,45.500.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Pofiqist,Deep House,Forest music,"",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Day dose of house,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,18.200.000,0,18.200.000,0,18.200.000,54.600.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Different Twins,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, MKT 4","",VND,0,0,0,0,0,0,0,20.800.000,0,10.400.000,10.400.000,10.400.000,52.000.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Spectrum Recordings,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,13.000.000,13.000.000,13.000.000,13.000.000,15.600.000,67.600.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Three Dot House,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,58.500.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Zero claim records,DEEP HOUSE,"","",VND,0,0,0,0,0,0,0,37.440.000,0,18.720.000,18.720.000,15.600.000,90.480.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep strip,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,13.000.000,0,13.000.000,0,13.000.000,39.000.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Wame record,DEEP HOUSE,"All Team HG, Bình Hào","",VND,0,0,0,9.100.000,0,0,0,0,0,9.100.000,0,0,18.200.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lucid Plain,DEEP HOUSE,"","",VND,0,0,0,0,15.600.000,0,0,0,0,0,0,0,15.600.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Frequency,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, MKT 4","",VND,0,0,0,0,0,0,0,15.600.000,0,0,0,0,15.600.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Tipsy,DEEP HOUSE,"","",VND,0,0,15.600.000,0,0,0,0,15.600.000,0,0,0,0,31.200.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Mark Music Records,DEEP HOUSE,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Denys Demchuk,Relax chung,MKT 4,"",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TunePocket,Relax chung,Red One,"",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lopills,Lofi,"","",VND,0,0,0,0,0,0,10.400.000,10.400.000,0,0,10.400.000,0,31.200.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PVMM,Lofi,"","",VND,0,0,0,0,0,0,0,14.976.000,14.976.000,0,0,0,29.952.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lofi Jazz Records,Lofi,"","",VND,0,0,0,0,0,0,0,10.400.000,0,10.400.000,0,10.400.000,31.200.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Street Phonk' Records,Phonk,"","",VND,0,0,0,0,0,0,0,0,0,0,0,44.200.000,44.200.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Aurorian ' Records,Phonk,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep Disco,Deep House,"Red One, An Tuệ & Vibe",565,"",225.646.800,183.666.000,120.391.200,104.688.000,115.530.800,0,0,0,0,0,0,0,749.922.800,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep Disco,Deep House,"Red One, An Tuệ & Vibe",565,VND,309.920.260,314.236.260,223.600.000,218.400.000,218.400.000,228.800.000,234.000.000,239.200.000,260.000.000,270.400.000,254.800.000,234.000.000,3.005.756.520,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep Disco,Deep House,"Red One, An Tuệ & Vibe",565,VND,378.976.000,378.976.000,413.504.000,344.448.000,378.976.000,387.608.000,391.924.000,396.240.000,331.500.000,378.976.000,400.556.000,396.240.260,4.577.924.260,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep Disco,Deep House,"Red One, An Tuệ & Vibe",565,VND,197.600.000,197.600.000,197.600.000,197.600.000,197.600.000,223.600.000,223.600.000,253.812.000,249.496.000,284.024.000,284.024.000,314.236.000,2.820.792.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep Disco,Deep House,"Red One, An Tuệ & Vibe",565,VND,0,0,0,0,0,0,0,171.600.000,171.600.000,197.600.000,197.600.000,197.600.000,936.000.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
