mart_resource_usage_sk,resource_id,resource_name,stock_name,isrc,resource_origin,source,repository,repository_id,sub_project_name,sub_project_id,project,project_id,stock_status,stock_stored_date,resource_age_days,distribution_team,last_distribution_date,ar_name,seo_employee_id,seo_name,used_video_count,last_used_published_date,days_since_last_usage,inventory_unused_days
036dacb64cd217264b0bd55dcdd414b4,HGFA025E1D53578F4BC68F089CFADCBCD4FC,,Close-(Original-Mix)_HGFAA19186D047934B9E8ABD073E767E9FD4.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
af6c94a51428373f7928d96fa16a8b36,HGFA025F1A8863FB4F9DA96B87F7E56CE5C0,,PTC5186570_01_09_Variations on a Rococo Theme Op33 Variation 3.wav,NLE421502909,,,,,,,,,Lưu kho,2026-04-07,142,,2026-04-28,,,,0,,,
423d09b917261f6e3cecaff1d407e711,HGFA02603B255E384685A7326B3D87B71358,,mozart-piano-concerto-21-andante_loop-09.mp3,,,,,,,,,,Tồn kho,2025-10-09,322,,,,,,0,,,322
91d3cc5bc74cfb37892273c3d0a0b1fc,HGFA026170D971AC45F3A90324E89D4C82B4,"Save me
Hounar - Save Me.mp3",Save-me_HGFA026170D971AC45F3A90324E89D4C82B4.mp3,,resource_information_add,,Hitkend Records,a2251268673742dad6c38a4915f90863,Không có dự án con,b03bbf0c6df6daa75fb563bc69bef781,Deep House,96,Lưu kho,2022-07-14,1505,"DEEP HOUSE - HG - KHO NỘI DUNG CHUNG, Forest Music Group - ADMIN, FMG - Audio",2025-11-12,,,,105,2026-07-13,,
8a4281bf380a954bd6cdd76983daa372,HGFA0262502C58414524A11E8DC35C439AA9,,Divertimento-in-D-Major-K--251-II--Minuetto_HGFAC08DB41ADC8F42CF8ED5B223ED6719A3.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
49c43dcfb34987288cedc26d9d8f859d,HGFA0266C547C40D4AC79994103211CE6041,"PTC5186718_01_06_Beethoven Str Q C sharp min op 131 Adagio.wav
String Quartet No. 14 in C-Sharp Minor, Op. 131: I. Adagio",PTC5186718_01_06_Beethoven Str Q C sharp min op 131 Adagio.wav,NLE421906106,resource_information_add,,Không có kho,19ce854745dfabefc4ec4044d6bd52f7,Không có dự án con,815a5db0f121c22f8b20714e0b5bc717,Classical,91,Lưu kho,2026-04-07,142,,2026-04-28,,,,0,,,
7d436fa68f79c73c2034ae16d61cc88d,HGFA0266DD6B899F479083BCD7944740ABA0,,Fold and Float.wav,QT2WN2501758,before_odoo,Kho sản xuất,Không có kho,75901fd641aa5f71f78cb56e40eecd30,Piano - MKT1 | Piano Relaxing,3b5bffb512fa52825c64122ea403c5b8,Piano - MKT1,c3128e12e38497742d3320a03879030a,Hàng nguội,2025-06-13,440,,2026-07-29,,,,95,2026-07-03,55,
05cdc9fb7b3d862786c6653123054659,HGFA0267388A56A14BFEA6648A8631915624,,"Suite in D minor, HWV 437 - III. Sarabande.wav",,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
a0f1947650953812a782b57747b35031,HGFA02684C6871AB4E509EFD27F2A9EE679C,,Vivid Cityscape.wav,,,,,,,,,,Tồn kho,2024-10-30,666,,,,,,0,,,666
0248b9e1121ca70c38b1cdd593abf8b8,HGFA0268570CFB344976AD7F8D1B0FCD7DFB,A Clear Mind,Song Am Chuong xoay 1.mp3,QT2WN2600313,odoo,Kho sản xuất,Om Healing - Label | Ngủ (có nhạc),405,Om Healing - Label,665,Om Healing,143,Hàng nguội,2026-01-23,216,,2026-07-29,,,,7,2026-03-13,167,
07c8228627e8b9a2572fbcfac947ce6f,HGFA0269B72023174B74B0C61F607D7B6899,Hidden Realm,Hidden-Realm_HGFA0269B72023174B74B0C61F607D7B6899.mp3,GX89G2496347,resource_information_add,,LABEL HUNT,deb2416daada2fb0079144ad0dc317de,Không có dự án con,c85959fcf73d7bf1c3486bb49487f15c,Lofi,116,Hàng nguội,2024-02-03,936,"LOFI - HG - KHO NỘI DUNG CHUNG, VH Core Youtube, VH Core Youtube, LOFI - HG - KHO NỘI DUNG CHUNG, VH Core Youtube, Trợ lý Chủ Tịch",2026-07-04,,,,85,2026-06-17,71,
