id,process_id,next_approve_line_id,current_approve_line_id,notif_approve_line_id,create_uid,write_uid,name,project_code,state,has_lyrics,date_start,date_end,note,date_sent,date_approved,create_date,write_date,user_request_id,hg_paymenttool_id,_source_id,_source_connection,_batch_id,_loaded_at
75,,,,,6,6,Comosix - DT Studio,CMS1,done,,,,Comosix - DT Studio,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
76,,,,,6,6,Robot 3D VFX,CMS2,done,,,,Robot 3D VFX,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
77,,,,,6,6,Comosix - Mega Creative Stopmotion,CMS3,done,,,,Comosix - Mega Creative Stopmotion,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
78,,,,,6,6,Sonic,CMS4,done,,,,Sonic,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
79,,,,,6,6,Minecraft,CMS5,done,,,,Minecraft,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
80,,,,,6,6,Vic - Comosix,CMS6,done,,,,Vic - Comosix,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
81,,,,,6,6,Roblox,CMS7,done,,,,Roblox,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
82,,,,,6,6,Scary teacher,CMS8,done,,,,Scary teacher,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
83,,,,,6,6,Streetfood,SF,progress,,2023-05-01,,Streetfood,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
84,,,,,6,6,Tiktok,TT,done,,,2022-12-31,"Kênh chạy short, nội dung từ kênh tiktok của team Tuấn",,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
85,,,,,6,6,Vlog,VL,done,,,,Vlog,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
86,,,,,6,6,Voice,VC,progress,,,,Voice,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
87,,,,,6,6,WMG,WMG,done,,,,Kênh Nhạc Việt của Hồng Ân,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
88,,,,,6,6,Acoustic Cover - 0,AC-0,done,,,,Cover Acoustic Top hits,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
89,,,,,6,6,Afrotech Cover - 1,AFTC-1,progress,,2025-05-01,,Afrotech Cover - 1,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
90,,,,,6,6,Cinematic,CN,progress,,,,Cinematic,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
92,,,,,6,6,Country Cover - 0,CC-0,draft,,,,Country Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
93,,,,,6,6,Dance Cover - 0,DC-0,done,,2023-06-01,,Dance Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
95,,,,,6,6,Dark Piano,DP,done,,2024-09-01,,Dark Piano,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
96,,,,,6,6,Deep House,DH,progress,,,,Deep House,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
97,,,,,6,6,Deep House Cover - 0,DHC-0,progress,,,,Deep House Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
98,,,,,6,6,Deep House Cover - 1,DHC-1,progress,,2025-05-01,,Deep House Cover - 1,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
99,,,,,6,6,Deep House Cover (Chillout) - 0,DHC(C)-0,draft,,2025-02-01,,Deep House Cover (Chillout) - 0,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
100,,,,,6,6,Deep House Cover (Chillout) - 1,DHC(C)-1,draft,,,,Deep House Cover (Chillout) - 1,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
101,,,,,6,6,Divo,DV,done,,2023-12-01,2023-12-01,Divo,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
102,,,,,6,6,Dự án FR,FR,done,,,,Dự án riêng của team MKT 2 làm cùng vs leafi,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
103,,,,,6,6,EDM Cover - 0,EDC-0,done,,,,EDM Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
104,,,,,6,6,Epidemic,EP,done,,2023-09-01,,Epidemic,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
105,,,,,6,6,Ghibli,GHB,progress,,2023-12-01,,Ghibli,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
106,,,,,6,6,Giáng Sinh Cover - 0,GSC-0,progress,,,,Giáng sinh Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
107,,,,,6,6,Giáng Sinh Cover - 1,GSC-1,,,,,Giáng sinh Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
108,,,,,6,6,Guitar Cover - 0,GC-0,done,,,,Guitar Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
109,,,,,6,6,Guitar Original,GO,progress,,2024-09-01,,Guitar Original,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
110,,,,,6,6,Hangdrum,HD,done,,2023-08-01,,Hangdrum,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
112,,,,,6,6,Jazz,JZ,progress,,2022-08-01,,Nhạc Jazz,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
114,,,,,6,6,Kids khác,K2,,,,,Kids khác,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
115,,,,,6,6,Kid Songs 2D,K2D,,,,,Kid Songs 2D,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
