dim_artist_sk,platform_id,platform_name
052ec8fc3baf1d017b9a0f7559a18b5a,35464,OM Himalayas Healer
e38b50b909f7a76965c768c3b64cd9e7,35465,Cao Bá Hưng
4c1062cc42d7e3c64306cbee964db44f,15244,Nguyễn Tuấn Anh
772d316613da8c54672c54d3fb5aaa58,15245,Nguyễn Tuấn Anh
e84cb7cbad2a4a01372580399d53816e,35466,OM Himalayas Healer
dba1f3f1753db3b8a2921d97d6f4b86b,35467,Cao Bá Hưng
cdb1b8659398b6fc3d538fb524493d5e,35449,Holly Rae
be315e7f05e9f13629031915fe87ad44,7694,Thu Quỳnh
ab06a50152f06f7f00b44b2189565b75,35468,OM Himalayas Healer
79e10a2be96e1167fe27825b47b040de,15246,Nguyễn Tuấn Anh
f4cc4b9bf4dc2237cb88718132e9fb7c,15385,LUMARE
e92c58a6493efcb1f0e995c58a60b620,15381,Mateo Cruz
6c8075e295e3f39797ded21a0a94ed08,35451,Artist Eggie
308fa1ba116122db3d87cd0da6e145bb,35469,Cao Bá Hưng
7c8ba697dbc0c69dbdbf8a1a544e788f,15217,Không có
757eaa74c03af8ec29203a6a0c3457aa,35898,patana
65658fde58ab3c2b6e5132a39fae7cb9,536,Lữ Đoàn Tuấn Khoa
25e646de1d14a0538e631e7f3605eb12,15193,Nguyễn Văn Vinh
ebd75b8970e12771b1aab92eb59cf0c2,15256,Điện máy Tuấn Phong
4857c95f8baac1053d07c7ff89b527cb,35470,OM Himalayas Healer
81616e9ab54cc3e36260f80593a4cc33,15071,Oli Langevin
e0ae4561193dbf6e4cf7e8f4006948e3,5878,fido_drone2024
b5200c6107fc3d41d19a2b66835c3974,8466,Vũ Phan Quỳnh Anh
12bcd658ef0a540cabc36cdf2b1046fd,6543,Đức Nguyễn
ddd3ac78a14a615e003287228c6ecff0,35471,Cao Bá Hưng
4ff6fa96179cdc2838e8d8ce64cd10a7,5410,Xi An
8f57f8197501fe0c3d8913e717632812,15614,M.ARLEN
196268d973fe71025e5e9a9b6ef4c6f1,15600,Calen Rivers
a2daf6d006b9b09d13bdb15017a4d714,35483,Elias Nordheim
8cc9db4e58f997f9ac4cd4dce9b06d3b,15599,Evan Thorne
2dfe1946b3003933b7f8ddd71f24dbb1,5155,Kęstutis Paškevičius
2a60eed05079970d61abad679da7ae8f,15618,M.ARLEN
dec9c56e749d1e55a8efbd3fceafdaf3,34601,Lily Wu
8a7129b8f3edd95b7d969dfc2c8e9d9d,5669,Marvin Kuhr
8909a6e385b0fbc1f3885c00ae838de7,5670,Nicci || travel & photography
63a8f9e307f0bf4473c24dd4db17cebd,5671,Liana | Slow Travel
c66dd00e5fc44ba8de89d7713fedcd50,5673,Cody Mayer
f1ee083baf7bb88affb4bbe77dd229f0,5674,ksn_tv Tate
045752bc5c7f705cea3cc14c036c261c,5675,andrewiwanicki Andrew
b0d6951563a26ffeb2405a9653b3b422,5694,Aftertone
dfea0768cc6ba51dd20c7224016b0bd7,5695,Nara Photographer
7f848746fe2599dc199a75f0d02fc3d6,5698,Seda & Dijwar | Travel Filmmakers
309e788d39ad52b4d43dd4001adecaad,35472,OM Himalayas Healer
fae9389a7378751dfbd769fc5786f319,15601,Nora Elen
6fbd841e2e4b2938351a4f9b68f12e6b,5138,Ahmet Kurt
1105d4e261b6276bc278026b729386d6,15613,SØLACE
64eec0c3fb6b12c43f51ec9e9c773fed,5054,Marina
449ef87e4d3fa1f1f268196b185627dd,15388,sønar
bc6249acce910185a80f3152bd16adde,15383,sun:set
f69b857233949c6a79158d4bb7ab5061,35473,Cao Bá Hưng
5c971edc0c2cc92fc99b5a3609450cb7,5699,Aris Kamarotos
84f5ddd735176becc72c3b1ff424149e,5700,ÜberfliegerBayern
bac49b876d5dfc9cd169c22ef5178ca7,5701,Enrico Ausburg
ba500f04049a8eece1e23e36ea7bbab0,5702,Jetset Lens pro
f7dd39d47c6f28f7877155ccffad0192,5703,Lê Văn Anh Tài
3b5e2c9be5002e87e0477099db5ff21b,5466,Lê Anh Tuấn
92dfa194391a59dc65b88b704599dbd6,5468,Nguyễn Văn Bảo
ae06fbdc519bddaa88aa1b24bace4500,5469,Đức Mòm (Trần Hữu Đức)
baed9f51d412c2514ee46a0942138ad6,5470,Minh Hiếu Japan
301d01984fa7dce86bab6d4d613b6678,35901,Ghost Meridian
bb2da85c47ec0d635ae708645f47475f,35474,OM Himalayas Healer
64c26b2a2dcf068c49894bd07e0e6389,5472,Đường Chân Trời 🇻🇳
41a6fd31aa2e75c3c6d427db3d17ea80,5473,Ben Prescott
25dd30ae03e63faa6b82d5a6a8dadff4,15616,SØLACE
aa3e602dc876a6d7dccff51c07840900,35475,Cao Bá Hưng
fbffdd7e918c7968f26dfa4088cc84ce,15617,M.ARLEN
4dea382d82666332fb564f2e711cbc71,5474,Long-Nong Huang
266c29a5d874af62d87413456e07d700,35690,thereed
fed2feba540053a436306e3993642e7a,15386,velín
65173795697c8229dd202ad94e821bab,5475,Andri Laukas
23712318a400454a2c049f165106d985,5478,PHILIPP MITTERLEHNER
ac2460b56866901d732f996b82b69d31,5479,Joe Hall
c6e81542b125c36346d9167691b8bd09,5480,André Alexander
24f2f931f12a4d9149876a5bef93e96a,5481,tom_juenemann
f4f691ac947fd92b7ab3c33d3f90bfed,5482,Wildlicht
03b2ceb73723f8b53cd533e4fba898ee,5484,Philipp Heigel
d7b431b1a0cc5f032399870ff4710743,5485,pelle.faust
1f5f5b265100daad35b3a491e1c55351,5486,Simon Hird
