id,sequence,product_uom,product_id,order_id,company_id,partner_id,currency_id,product_packaging_id,create_uid,write_uid,state,qty_received_method,display_type,analytic_distribution,name,product_qty,discount,price_unit,price_subtotal,price_total,qty_invoiced,qty_received,qty_received_manual,qty_to_invoice,is_downpayment,date_planned,create_date,write_date,product_uom_qty,price_tax,product_packaging_qty,orderpoint_id,location_final_id,group_id,product_description_variants,propagate_cancel,sale_order_id,sale_line_id,x_project_id,x_genre_id,x_subgenre_id,x_distribution_method_id,x_song_id,x_product_uom,x_ref,x_quality,x_video_type,x_sample_link,x_song_name,x_location,x_color,x_deadline,is_adjustable,x_review_price,x_expected_score,x_duration,x_video_minute,x_confirmed_qty,x_music_plan_detail_id,x_usage_type,hg_maintenance_request_part_id,hg_asset_request_line_id,x_review_link,hg_asset_categ_id,x_adjust_ok,discount_fixed,x_footage_qty,x_cid_release_mode,x_production_type,_source_id,_source_connection,_batch_id,_loaded_at
121,12,1,407,40,3,15,23,,2408,1,purchase,manual,,,,30,0,1350000,40500000,40500000,0,0,0,30,,2025-09-18 10:23:36,2025-09-18 10:30:10.44629,2025-10-06 10:30:13.551409,30,0,0,,,,,t,,,130,612,,,,,,,combo_video,,,,,2025-06-30,t,0,0,0,0,30,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
122,13,1,329,40,3,15,23,,2408,1,purchase,manual,,,,10,0,1350000,13500000,13500000,0,0,0,10,,,2025-09-18 10:30:10.44629,2025-10-06 10:30:13.551409,10,0,0,,,,,t,,,112,615,310,,,,,,combo_video,,,,,2025-06-30,t,0,0,0,0,10,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
118,15,1,328,39,3,15,23,,2408,1,purchase,manual,,,,50,0,1500000,75000000,75000000,0,0,0,50,,,2025-09-18 10:12:32.355002,2025-10-06 10:30:13.551409,50,0,0,,,,,t,,,137,618,,,,,"""https://www.youtube.com/watch?v=8KrLtLr-Gy8&t=3s&pp=ygUKZmlyZSBzb3VuZA%3D%3D https://www.youtube.com/watch?v=Ftm2uv7-Ybw""",,video,,,,,2025-05-31,t,0,0,0,0,50,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
128,13,1,329,41,3,15,23,,2408,1,purchase,manual,,,,10,0,1350000,13500000,13500000,0,0,0,10,,,2025-09-19 01:47:52.178156,2025-10-06 10:30:13.551409,10,0,0,,,,,t,,,112,615,310,,,,,,combo_video,,,,,2025-07-31,t,0,0,0,0,10,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
124,15,1,328,40,3,15,23,,2408,1,purchase,manual,,,,50,0,1500000,75000000,75000000,0,0,0,50,,,2025-09-18 10:30:10.44629,2025-10-06 10:30:13.551409,50,0,0,,,,,t,,,137,618,,,,,"""https://www.youtube.com/watch?v=8KrLtLr-Gy8&t=3s&pp=ygUKZmlyZSBzb3VuZA%3D%3D https://www.youtube.com/watch?v=Ftm2uv7-Ybw""",,video,,,,,2025-06-30,t,0,0,0,0,50,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1194,10,1,701,515,8,575,23,,56,38,purchase,manual,,,,1,,0,0,0,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-18 10:39:06.25165,1,0,0,,,,,t,,,141,653,361,1,2121,,,excellent,,<p>https://www.youtube.com/watch?v=Ty-482Ca8w0</p>,,,,,t,0,8,0,0,1,588,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
112,11,1,324,39,3,15,23,,2408,1,purchase,manual,,,,20,0,1400000,28000000,28000000,0,0,0,20,,,2025-09-18 09:32:41.12848,2025-10-06 10:30:13.551409,20,0,0,,,,,t,,,130,611,,,,,,,combo_video,,,,,2025-05-31,t,0,0,0,0,20,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
114,13,1,329,39,3,15,23,,2408,1,purchase,manual,,,,10,0,1350000,13500000,13500000,0,0,0,10,,,2025-09-18 09:32:41.12848,2025-10-06 10:30:13.551409,10,0,0,,,,,t,,,112,615,310,,,,,,combo_video,,,,,2025-05-31,t,0,0,0,0,10,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
113,12,1,407,39,3,15,23,,2408,1,purchase,manual,,,,20,0,1350000,27000000,27000000,0,0,0,20,,2025-09-18 09:15:42,2025-09-18 09:32:41.12848,2025-10-06 10:30:13.551409,20,0,0,,,,,t,,,130,612,,,,,,,combo_video,,,,,2025-05-31,t,0,0,0,0,20,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
119,10,1,323,40,3,15,23,,2408,1,purchase,manual,,,,10,0,1200000,12000000,12000000,0,0,0,10,,,2025-09-18 10:30:10.44629,2025-10-06 10:30:13.551409,10,0,0,,,,,t,,,130,452,,,,,,,combo_video,,,,,2025-06-30,t,0,0,0,0,10,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
102,13,1,326,37,3,15,23,,2408,1,purchase,manual,,,,50,0,650000,32500000,32500000,0,0,0,50,,,2025-09-18 07:46:27.537901,2025-10-06 10:30:13.551409,50,0,0,,,,,t,,,137,616,312,,,,,,video,<p>https://prnt.sc/BrlhrVVATrIe</p>,,,,2025-03-31,t,0,0,0,0,50,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
103,14,1,327,37,3,15,23,,2408,1,purchase,manual,,,,50,0,1000000,50000000,50000000,0,0,0,50,,,2025-09-18 08:16:37.161739,2025-10-06 10:30:13.551409,50,0,0,,,,,t,,,137,617,,,,,,,video,,,,,2025-03-31,t,0,0,0,0,50,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
