hg_stock_id,video_id
HGFA436FE36DA97849BDB646C3927B9AAFB0,UfKzedTWH_c
HGFA956EBF468F5F4219B512CAC3DD76B0CF,O0gZVUCKhak
HGFA7611899ACC074213BA3E5DEEB138B162,370ktir-qGU
HGFA89D13029CD6244DAAF10634E09A9D226,5CX9q3DnPZI
HGFA04714260478849C5932ABE6ADAEC767E,P8GmSNtVkDA
HGFA1D3996353DDA440BACF9EF10B8643413,RbLbKNPedY8
HGFAD9DF33FF7A07403CBB9FC8107FBBA087,3vhcZoAVCUs
HGFA5010CAC5F5354E39A7CD6AF25A64C288,Ak-VZcB88q8
HGFA89D13029CD6244DAAF10634E09A9D226,CsrgbAmTfb4
HGFA147035EBE4FA4DFA853756A5007DE7F1,Q_tpyZuOQLo
HGFA74C622DB14474AFDA6B27BAA3F8E1BFA,HZ424Sq56Co
HGFA3922D113E1364B348F9CCAF86B581601,WOdeBkkurio
HGFA4C3EF4D4E27E42D5B31572015E65C1C2,Vwlrb-gSXyo
HGFA881395E9CE194D2E89E61FEC38DC3422,6_mgdiZamD0
HGFA941E9BCD75864EA3A788662C03B741E0,WONzOd5PbMg
HGFA06D280B09BAB45F6BF810AA72DA0C436,ARnNSzeeX7g
HGFA5A7E0E8994CF4CCD8689A3775F966121,LcoQiv716o0
HGFA99530A045AF94A0099080C7275662305,DFpRZVswUxw
HGFA06D280B09BAB45F6BF810AA72DA0C436,SxEPk3sZDQo
HGFAFE365EC59BD24F1BA30A2A59CDA7B3E6,EeYNnJEa7Hw
HGFAD8C6A653696B4A0A83E5E7C8624E932B,9_LNKR0yTac
HGFA956EBF468F5F4219B512CAC3DD76B0CF,NnaaKgmMsNk
HGFA99530A045AF94A0099080C7275662305,FQUlXjv97Yc
HGFACECB984131144C7FBBD7F427961C73D6,ThO0QjHhoDo
HGFACECB984131144C7FBBD7F427961C73D6,64Gn9lgjXFs
HGFA8D07AD827CCB4DE38198640E582B7664,OBOjHPxGnDY
HGFA2E3485CD2967463382438E48B9B8B9A6,4OS2W4lgYl4
HGFA66D3DACB915B4F0FBA7563523ADB9E36,LXk2-AN0iTo
HGFA6225DBA536E74B4B9858726D9C366B2A,Q-7aJX1VFdE
HGFAB4CD238BB5094C51B88E3251D741311A,RClcAqI5BnA
HGFA0493EC5DC2AB43188AFB220A2F9CE1E3,I-usSboGawM
HGFAC2DD8D5B9E5A4A1EBEFE80637790F4AB,PHIll5BeTMc
HGFA52133E24ADBE4426B6D346714348AB91,64Gn9lgjXFs
HGFA5F8BE26FF32941268BDE5FAF0F080618,Al4LC2MLv2c
HGFAC2DD8D5B9E5A4A1EBEFE80637790F4AB,SX0_Iw_Yxuo
HGFAD8C6A653696B4A0A83E5E7C8624E932B,LKnGjTRV354
HGFA5C13F7A2EE094DA8ABBD5A4FAB2F1EF3,A3Ov8BvAy_k
HGFA2246CA00078047CD8A87288D2B44F68C,3EAMzH0o_2Y
HGFA1F33BC05A8044E51B1633DC4DDB70BF1,Nt_fa6IJcv4
HGFADC11FEB225EB4F3BA3F7744403F3CDBE,DLABFF2cLAk
HGFA1EC61088C1DA4147AF153FA9C8F5B593,9j8X94YFtB4
HGFA418C8EE7B4AC4A1A8BA1B5173A5C79D1,NhrsD3ArR1Q
HGFA89D13029CD6244DAAF10634E09A9D226,8rPK7mopCp8
HGFA71BDBA3742F844E9B8917055F6636E8E,LzZQgeC5bAU
HGFA1094A6CE5DC74A1799812A53E29092AD,UeP3klm7lFs
HGFABA0593B3FFE84AF6AB8E022595EC8DF6,6pH3DsKEOX8
HGFA28C208E9FB6A4FE682F8A814FE0FD8F0,PG-7yvQwi78
HGFAEF9BC48ADF1A4EA597D79E0A2818C738,IQsv9uAPLYo
HGFA39DAF9DC2BE24A09963CC1054E1B04F8,9A-2ny64tnk
HGFAD8C6A653696B4A0A83E5E7C8624E932B,IIRDKq51nR8
HGFA04714260478849C5932ABE6ADAEC767E,Q0vbEpE3p7o
HGFA436FE36DA97849BDB646C3927B9AAFB0,HfRU7IWU4n0
HGFA5C13F7A2EE094DA8ABBD5A4FAB2F1EF3,PKDU5a_VW2o
HGFAA71E84183AF04D3C9341DF3EB1EAD992,2wU4w6ZF8nM
HGFA19706D150D964363AF1C74ABBED90BC6,DbaeKnT2zv0
HGFAF1772E93D8A343E1A0053486A35623EC,IGQl_SdE2vs
HGFAFE436EDC09B34E0C8828AEEDC61FD669,Hq9n4jHgITI
HGFA84355867F7E74256AF1503E238729656,GvPxcbAyaxw
HGFAC52329C9C2484A81BE35CD4F33DA55E0,6NNQsmxX4UA
HGFAF78020B1BAC04079B5FA73FF6EADF7D9,MqFobbxv8PQ
HGFA35059C4A13C5439F9742A0E65B275ACF,WgmkZPUOdGw
HGFA4C3EF4D4E27E42D5B31572015E65C1C2,5nKiVwqgO38
HGFA8D07AD827CCB4DE38198640E582B7664,LLMK-SC7JaU
HGFA147035EBE4FA4DFA853756A5007DE7F1,PsUa24vFg50
HGFA0E5FA2DA1C5B4177A8690111328E35D2,6MjU5W1ptj0
HGFAFFEC0D65997E4E7FB00A824DEAEC5A4D,VS_hE73yMPI
HGFA6E59E749C5094FE3B71D082AA39E24EA,7BUMVhd5Rnw
HGFAC2DD8D5B9E5A4A1EBEFE80637790F4AB,8Xnn-qDh96k
HGFAD28CBDA4AFE940B4B4D7AA272FAD19CB,TQUdCzYvqxA
HGFA6A224846BE8C42638D20767AC7EAF74F,25zO2FNdiLs
HGFA71BDBA3742F844E9B8917055F6636E8E,WKc4svsxXBo
HGFA89D13029CD6244DAAF10634E09A9D226,N0euRoJIeFU
HGFABB07ABBBA0324DFBAD038156EF0E69D6,S8h1kwy2LU0
HGFADC9806F09DCA49C2A5D56FC694B9443A,Tzcm4-GB2VI
HGFA44BD3D7936B54AAEA21968189FEA6792,ODhKey-PqBM
HGFABDC1B2AA6BAF4BDE92A16C0287594BBE,P-Pgxsgq0Vw
HGFA2822846A24274A4CA6EBDC030E4F8F3E,EPdu2qyPhHU
HGFA2ADAA6E21BB04EA5B820CD46BEC92858,HDXGCRi5v9g
HGFA215F0BF2B83B4E86ADDBC37FE801FD00,TOfJgJuI12k
HGFAC7E5EBDCE859486683B03F6395E8501F,HXdBPcjm47Q
HGFAC7ABF0EDE81048B5B1CFB020D2DCB831,Rwl6ESnDHAM
HGFAA67DA9C3DAC74CC0B57CCC207AFACBF1,Inc4U25dqFM
HGFAEEFF623705104E18BBD1836691FF669E,4hp3YsCrYkk
HGFA6330119E695443169B1D5F3F27FAE3CA,LERIqbabbBA
HGFA97E79CE2CBB44CC7A8B37D4E07AFB6E5,WONzOd5PbMg
HGFA2AF984BB27F64857B313E1E783D6E9BE,LUnhcqIDOOE
HGFAC7E5EBDCE859486683B03F6395E8501F,N765CKoyzYc
HGFA9ACFFB1C3D4D465E80B94DA567126A59,JhfnJZNk4M8
HGFA781266A2BD7A4A99915D908808FC495E,DrBoIpFuwI0
HGFA9A66F4E9B202443898624A9C1835A537,RYQYdXmgpEU
HGFAD5578CCD516F47F29CFDCF26363878D8,MDRZZqADmZA
HGFA8D07AD827CCB4DE38198640E582B7664,VxLwItza6PQ
HGFA39DAF9DC2BE24A09963CC1054E1B04F8,GaN4eVRlmMA
HGFAA6EDC1B7A6654C479EE219816BA26B03,HqcY1UIICz4
HGFA6E59E749C5094FE3B71D082AA39E24EA,MHjrvA6chkk
HGFA520682EFDA4C4A5287C12BAF6B1E8264,2gpYqgkRORI
HGFAD69445B1D3B74B379CC27B72D5B10663,3OZhBVztW0o
HGFA6AD153B97FE54CCB84C176EFAADD70BE,Vl7QcstcJ18
HGFA0E5FA2DA1C5B4177A8690111328E35D2,6HWNNaVkRKE
HGFA938B69D345164E2780070994BD26733B,Fa4VAbLTbxs
HGFA7238D1B65BCC466287C69603E2F042D4,C84vaAo7q8E
HGFAE98D194BF7EF4F918ADA59DC79A1C76D,A0EBmoyRgCA
HGFA520682EFDA4C4A5287C12BAF6B1E8264,5AQDuAaCXPk
HGFA8E8A8A24E26D49D8971D5545728E32E5,KzxhAt9UdoY
HGFA4C3EF4D4E27E42D5B31572015E65C1C2,MPbKVLYviq4
HGFA34F0B8A6128E4497BF4CF9229B5F90D2,WauVfscXWpM
HGFA4C3EF4D4E27E42D5B31572015E65C1C2,DeiGEAOwN0U
HGFA2F6F7049627949E585AFB3F3785525D5,Q110JYY5DXc
HGFA9F4D33E3660943DFA29940F493E2D77E,FVEQBwTBh68
