step_order,buoc,status_order,tinh_trang,flow_item_key,resource_id,hg_stock_id,isrc,so_id,po_id,po_detail_id,channel_id,repository_id,production_sub_project_id,production_project_id,stock_sub_project_id,stock_project_id,sub_project_id,project_id,order_company_id,stock_company_id,company_id,net_id,platform,stock_stored_date,recorded_date,so_luong
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,Line Music,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,Melon,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,NetEase Cloud Music,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,Qobuz,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,Qobuz Backpay,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,Spotify,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,Threads: Claim,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,Tidal,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,TikTok,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,WhatsApp: Audio Library,2025-12-15 03:05:14.115279,,1
