fact_po_detail_sk,po_detail_id,po_id,qty_order,repository
ec5decca5ed3d6b8079e2e7e7bacc9f2,127,41,30,
84d9ee44e457ddef7f2c4f25dc8fa865,199,55,50,307
6f3ef77ac0e3619e98159e9b6febf557,210,63,30,250
9766527f2b5d3e95d4a733fcfb77bd7e,165,47,8,312
96da2f590cd7246bbde0051047b0d6f7,177,48,100,
8f53295a73878494e9bc8dd6c3c7104f,179,48,75,
8f85517967795eeef66c225f7883bdcb,178,48,16,
bf8229696f7a3bb4700cfddef19fa23f,174,48,16,307
6c1da886822c67822bcf3679d04369fa,1368,538,1,172
0e3a37aa85a14e359df74fa77eded3f6,1369,538,1,172
fc221309746013ac554571fbd180e1c8,181,50,75,
cedebb6e872f539bef8c3f919874e9d7,183,50,16,307
82161242827b703e6acf9c726942a1e4,175,48,16,308
38af86134b65d0f10fe33d30dd76442e,176,48,16,310
2a79ea27c279e471f4d180b08d62b00a,155,46,8,312
f2217062e9a397a1dca429e7d70bc6ca,149,45,16,
1385974ed5904a438616ff7bdb3f7439,140,45,16,307
63dc7ed1010d3c3b8269faf0ba7491d4,217,66,10,274
0f28b5d49b3020afeecd95b4009adf4c,141,45,16,308
903ce9225fca3e988c2af215d4e544d3,143,45,8,312
d1ee59e20ad01cedc15f5118a7626099,1370,538,1,172
069059b7ef840f0c74a814ec9237b6ec,126,41,30,
e0c641195b27425bb056ac56f8953d24,421,192,1,
8f1d43620bc6bb580df6e80b0dc05c48,1109,479,5,274
210f760a89db30aa72ca258a3483cc7f,883,384,47.4,268
55743cc0393b1cb4b8b37d09ae48d097,651,285,1,166
81ca0262c82e712e50c580c032d99b60,1371,538,1,172
08419be897405321542838d77f855226,723,309,50,244
8248a99e81e752cb9b41da3fc43fbe7f,1140,496,1,
5b4a2146246bc3a3a941f32225bbb792,3446,113,1,166
a597e50502f5ff68e3e25b9114205d4a,194,53,51,316
289dff07669d7a23de0ef88d2f7129e7,234,80,42.33,264
0a09c8844ba8f0936c20bd791130d6b6,144,45,8,312
577ef1154f3240ad5b9b413aa7346a1e,235,81,34.2,262
ddb30680a691d157187ee1cf9e896d03,435,204,10,276
45fbc6d3e05ebd93369ce542e8f2322d,216,66,50,268
5878a7ab84fb43402106c575658472fa,167,47,16,
006f52e9102a8d3be2fe5614f42ba989,168,47,16,
3636638817772e42b59d74cff571fbb3,169,47,16,
13fe9d84310e77f13a6d184dbf1232f3,224,73,30,268
d1c38a09acc34845c6be3a127a5aacaf,225,73,20,269
933670f1ac8ba969f32989c312faba75,4861,1058,10,275
ab8df9f7733db5611fd53748f1db282e,4007,902,0,398
43d762ca733a839226415450b0dbf9d2,3966,894,25,389
0d7de1aca9299fe63f3e0041f02638a3,674,292,16,310
8fecb20817b3847419bb3de39a609afe,675,292,16,
dc6a70712a252123c40d2adba6a11d84,676,292,16,307
9001ca429212011f4a4fda6c778cc318,3591,759,0,250
884d247c6f65a96a7da4d1105d584ddd,650,285,1,166
10a5ab2db37feedfdeaab192ead4ac0e,691,301,50,268
1b84c4cee2b8b3d823b30e2d604b1878,6206,1384,1,459
30ef30b64204a3088a26bc2e6ecf7602,652,285,1,166
11b921ef080f7736089c757404650e40,556,261,30,
6e2713a6efee97bacb63e52c54f0ada0,557,261,20,
1bb91f73e9d31ea2830a5e73ce3ed328,558,261,30,
71a3cb155f8dc89bf3d0365288219936,677,292,10,
cf9a242b70f45317ffd281241fa66502,1361,537,1,366
a9be4c2a4041cadbf9d61ae16dd1389e,1362,537,1,366
32b30a250abd6331e03a2a1f16466346,809,346,8,152
9683cc5f89562ea48e72bb321d9f03fb,1363,537,1,366
03e0704b5690a2dee1861dc3ad3316c9,1019,412,32,341
060ad92489947d410d897474079c1477,221,71,39.15,262
1534b76d325a8f591b52d302e7181331,212,64,42,270
3644a684f98ea8fe223c713b77189a77,200,56,24,
9cfdf10e8fc047a44b08ed031e1f0ed1,226,73,5,274
705f2172834666788607efbfca35afb3,227,73,5,275
539fd53b59e3bb12d203f45a912eeaf2,237,82,20,270
ac1dd209cbcc5e5d1c6e28598e8cbbe8,238,82,5,274
555d6702c950ecb729a966504af0a635,239,82,5,276
58a2fc6ed39fd083f55d4182bf88826d,192,52,33,316
bd686fd640be98efaae0091fa301e613,193,52,50,317
0336dcbab05b9d5ad24f4333c7658a0e,195,53,30,317
3295c76acbf4caaed33c36b1b5fc2cb1,66,18,6,207
a684eceee76fc522773286a895bc8436,54,17,3,161
1c383cd30b7c298ab50293adfecb7b18,35,14,10,118
d490d7b4576290fa60eb31b5fc917ad1,600,274,1,166
19ca14e7ea6328a42e0eb13d585e4c22,36,14,7,93
b2f627fff19fda463cb386442eac2b3d,601,274,1,166
a5bfc9e07964f8dddeb95fc584cd965d,37,14,10,124
08b255a5d42b89b0585260b6f2360bdd,590,270,1,99
9778d5d219c5080b9a6a17bef029331c,82,27,10,167
ac627ab1ccbdb62ec96e702f07f6425b,99,37,20,
c3992e9a68c5ae12bd18488bc579b30d,602,274,1,166
d86ea612dec96096c5e0fcc8dd42ab6d,603,274,1,166
fbd7939d674997cdb4692d34de8633c4,76,26,4,281
32bb90e8976aab5298d5da10fe66f21d,72,23,1,99
9cf81d8026a9018052c429cc4e56739b,604,274,1,166
c361bc7b2c033a83d663b8d9fb4be56e,605,274,1,166
44c4c17332cace2124a1a836d9fc4b6f,606,274,1,166
effc299a1addb07e7089f9b269c31f2f,1364,537,1,366
a9a1d5317a33ae8cef33961c34144f84,585,259,30,316
758874998f5bd0c393da094e1967a72b,314,136,50,270
dc82d632c9fcecb0778afbc7924494a6,607,274,1,166
cf1f78fe923afe05f7597da2be7a3da8,1365,537,1,366
3a0772443a0739141292a5429b952fe6,559,261,20,
a9a6653e48976138166de32772b1bf40,560,261,40,
db85e2590b6109813dafa101ceb2faeb,566,260,15,
091d584fced301b442654dd8c23b3fc9,208,60,14,270
d2ddea18f00665ce8623e36bd4e3c7c5,73,23,5,100
e2c420d928d4bf8ce0ff2ec19b371514,71,23,1,98
6a5889bb0190d0211a991f47bb19a777,1366,537,1,366
a4f23670e1833f3fdb077ca70bbd5d66,260,89,43.73,256
82aa4b0af34c2313a562076992e50aa3,162,47,16,307
fa7cdfad1a5aaf8370ebeda47a1ff1c3,164,47,16,310
7e7757b1e12abcb736ab9a754ffb617a,166,47,8,313
c0e190d8267e36708f955d7ab048990d,219,69,25,268
ff49cc40a8890e6a60f40ff3026d2730,1333,533,1,160
8edd72158ccd2a879f79cb2538568fdc,1334,533,1,160
a3c65c2974270fd093ee8a9bf8ae7d0b,108,38,10,310
9cb67ffb59554ab1dabb65bcb370ddd9,1335,533,1,160
3d779cae2d46cf6a8a99a35ba4167977,1336,533,1,160
eb6fdc36b281b7d5eabf33396c2683a2,618,275,1,160
67d16d00201083a2b118dd5128dd6f59,876,374,3,155
e48e13207341b6bffb7fb1622282247b,1337,533,1,160
e555ebe0ce426f7f9b2bef0706315e0c,692,301,7,274
7f1171a78ce0780a2142a6eb7bc4f3c8,724,309,10,274
352407221afb776e3143e8a1a0577885,877,374,2,156
c4d2ce3f3ebb5393a77c33c0cd95dc93,3863,842,20,334
e2ef524fbf3d9fe611d5a8e90fefdc9c,97,35,50,252
ed3d2c21991e3bef5e069713af9fa6ca,98,35,10,276
2723d092b63885e0d7c260cc007e8b9d,109,38,100,312
c7e1249ffc03eb9ded908c236bd1996d,87,27,3,161
68d30a9594728bc39aa24be94b319d21,84,27,10,172
f033ab37c30201f73f142449d037028d,80,26,2,152
704afe073992cbe4813cae2f7715336f,886,385,0,274
f0bf4a2da952528910047c31b6c2e951,4860,1058,116,251
dd8eb9f23fbd362da0e3f4e70b878c16,878,374,3,161
e94f63f579e05cb49c05c2d050ead9c0,1448,543,1,138
2dffbc474aa176b6dc957938c15d0c8b,1449,543,1,138
5737c6ec2e0716f3d8a7a5c4e0de0d9a,322,121,3,256
c5cc17e395d3049b03e0f1ccebb02b4d,1450,543,1,138
4f8bc5ac1dc2b49434efe9e72f183de8,3864,842,20,
f7f580e11d00a75814d2ded41fe8e8fe,1141,497,30,250
8ce6790cc6a94e65f17f908f462fae85,1142,497,10,274
b607ba543ad05417b8507ee86c54fcb7,3967,894,20,368
65cc2c8205a05d7379fa3a6386f710e1,1020,412,32,360
cdc0d6e63aa8e41c89689f54970bb35f,619,276,1,167
c0e8517b1fe0b5270f3f41d4b56d6118,3595,763,0,250
d09bf41544a3365a46c9077ebb5e35c3,75,26,11,205
d9d4f495e875a2e075a1a4a6e1b9770f,46,16,4,147
f7177163c833dff4b38fc8d2872f1ec6,44,16,6,144
67c6a1e7ce56d3d6fa748ab6d9af3fd7,47,16,6,152
2838023a778dfaecdc212708f721b788,51,17,10,172
9a1158154dfa42caddbd0694a4e9bdc8,52,17,8,155
b53b3a3d6ab90ce0268229151c9bde11,55,17,3,162
eda80a3d5b344bc40f3bc04f65b7a357,267,96,13.62,268
3416a75f4cea9109507cacd8e2f2aefc,41,15,10,106
6364d3f0f495b6ab9dcf8d3b5c6e0b01,32,12,2,98
698d51a19d8a121ce581499d7b701668,111,39,10,
3def184ad8f4755ff269862ea77393dd,125,41,10,
a97da629b098b75c294dffdc3e463904,107,38,20,
93db85ed909c13838ff95ccfa94cebd9,86,27,2,156
65b9eea6e1cc6bb9f0cd2a47751a186f,105,38,20,
f0935e4cd5920aa6c7c996a5ee53a70f,106,38,20,
68264bdb65b97eeae6788aa3348e553c,660,289,1,100
fed33392d3a48aa149a87a38b875ba4a,1004,393,18,268
e0cf1f47118daebc5b16269099ad7347,813,347,1,281
ca9c267dad0305d1a6308d2a0cf1c39c,679,293,300,
79a3308b13cd31f096d8a4a34f96b66b,5057,1122,1,430
62db9e3397c76207a687c360e0243317,6207,1384,1,459
bb04af0f7ecaee4aae62035497da1387,1275,526,1,369
6c8349cc7260ae62e3b1396831a8398f,45,16,9,138
642e92efb79421734881b53e1e1b18b6,48,16,10,145
17e62166fc8586dfa4d1bc0e1742c08b,43,16,14,205
f457c545a9ded88f18ecee47145a72c0,49,17,10,165
d82c8d1619ad8176d665453cfb2e55f0,53,17,2,156
9f61408e3afb633e50cdf1b20de6f466,56,17,10,160
c0c7c76d30bd3dcaefc96f40275bdc0a,50,17,12,171
28dd2c7955ce926456240b2ff0100bde,77,26,7,138
35f4a8d465e6e1edc05f3d8ab658c551,78,26,2,147
d1fe173d08e959397adf34b1d77e88d7,79,26,4,145
ad61ab143223efbc24c7d2583be69251,74,25,6,207
e00da03b685a0dd18fb6a08af0923de0,139,44,24,
013d407166ec4fa56eb1e1f8cbe183b9,138,44,16,312
b73dfe25b4b8714c029b37a6ad3006fa,620,276,1,167
85fc37b18c57097425b52fc7afbb6969,621,276,1,167
b89c30965ebc74912de879f22da62dbf,3597,764,120,393
0768281a05da9f27df178b5c39a51263,1021,412,10,370
2387337ba1e0b0249ba90f55b2ba2521,1005,393,5,274
7cbbc409ec990f19c78c75bd1e06f215,70,21,10,274
fb60d411a5c5b72b2e7d3527cfc84fd0,1276,526,1,369
f2fc990265c712c49d51a18a32b39f0c,324,140,70,244
17d63b1625c816c22647a73e1482372b,411,186,2,
3fe94a002317b5f9259f82690aeea4cd,316,137,30,268
8d3bba7425e7c98c50f52ca1b52d3735,319,138,5,274
d759175de8ea5b1d9a2660e45554894f,1277,526,1,369
06138bc5af6023646ede0e1f7c1eac75,269,98,17,268
ab1a4d0dd4d48a2ba1077c4494791306,1278,526,1,369
48aedb8880cab8c45637abc7493ecddd,288,129,1,
7f100b7b36092fb9b06dfb4fac360931,271,99,20.9,264
a8f8f60264024dca151f164729b76c0b,1437,542,1,360
d6baf65e0b240ce177cf70da146c8dc8,264,95,30,268
cfa0860e83a4c3a763a7e62d825349f7,259,88,68.38,270
c6036a69be21cb660499b75718a3ef24,1120,484,20,
f7664060cc52bc6f3d620bcedc94a4b6,266,95,10,274
66121d1f782d29b62a286909165517bc,3452,736,1,205
3a15c7d0bbe60300a39f76f8a5ba6896,1121,484,30,
0efe32849d230d7f53049ddc4a4b0c60,885,385,30,250
cdd0500dc0ef6682fa6ec6d2e6b577c4,3593,760,50,250
03c6b06952c750899bb03d998e631860,252,86,15,316
d645920e395fedad7bbbed0eca3fe2e0,40,14,10,206
fccb3cdc9acc14a6e70a12f74560c026,680,294,4,324
dce8af15f064d1accb98887a21029b08,3594,760,10,274
bf56a1b37b94243486b2034f8479c475,4515,980,1,431
1595af6435015c77a7149e92a551338e,681,294,4,328
52c409f1571f500e28f490a302a12540,3596,763,60,274
a9df2255ad642b923d95503b9a7958d8,3866,844,0,244
060afc8a563aaccd288f98b7c8723b61,4890,1066,1,99
b83aac23b9528732c23cc7352950e880,327,141,50,268
ad13a2a07ca4b7642959dc0c4c740ab6,315,136,8,276
cd00692c3bfe59267d5ecfac5310286c,328,141,10,274
f81dee42585b3814de199b2e88757f5c,3969,895,10,
432aca3a1e345e339f35a30c8f65edce,318,138,27,268
c24cd76e1ce41366a4bbe8a49b02a028,253,86,15,317
94f6d7e04a4d452035300f18b984988c,300,133,3,326
34ed066df378efacc9b924ec161e7639,301,133,2,325
3493894fa4ea036cfc6433c3e2ee63b0,591,271,1,99
dbe272bab69f8e13f14b405e038deb64,592,272,1,99
473447ac58e1cd7e96172575f48dca3b,3455,737,1,100
577bcc914f9e55d5e4e4f82f9f00e7d4,302,133,3,327
6a182a16e66268d7ce85fcfe945df787,4253,953,10,
36660e59856b4de58a219bcf4e27eba3,262,91,28,256
db6ebd0566994d14a1767f14eb6fba81,1438,542,1,360
caf1a3dfb505ffed0d024130f58c5cfa,321,139,6,274
def7924e3199be5e18060bb3e1d547a7,3456,738,1,100
01161aaa0b6d1345dd8fe4e481144d84,236,82,30,268
e1fc9c082df6cfff8cbcfff2b5a722ef,3457,739,1,100
f29c21d4897f78948b91f03172341b7b,613,275,1,160
851ddf5058cf22df63d3344ad89919cf,614,275,1,160
99bcfcd754a98ce89cb86f73acc04645,698,302,1,
b1eec33c726a60554bc78518d5f9b32c,702,302,1,
d6c651ddcd97183b2e40bc464231c962,703,302,2,
bc6dc48b743dc5d013b1abaebd2faed2,323,121,8,258
aa108f56a10e75c1f20f27723ecac85f,4878,1064,1,99
606c90a06173d69682feb83037a68fec,4879,1064,1,99
58d4d1e7b1e97b258c9ed0b37e02d087,615,275,1,160
7750ca3559e5b8e1f44210283368fc16,616,275,1,160
5d44ee6f2c3f71b73125876103c8f6c4,617,275,1,160
48ab2f9b45957ab574cf005eb8a76760,624,278,1,100
233509073ed3432027d48b1a83f5fbd2,625,278,1,100
d4c2e4a3297fe25a71d030b67eb83bfc,728,311,1,
5751ec3e9a4feab575962e78e006250d,729,311,1,
afda332245e2af431fb7b672a68b659d,822,351,1,156
632cee946db83e7a52ce5e8d6f0fed35,823,351,1,156
f0adc8838f4bdedde4ec2cfad0515589,818,349,1,156
3b5dca501ee1e6d8cd7b905f4e1bf723,819,349,1,156
13d63838ef1fb6f34ca2dc6821c60e49,3459,741,1,100
6aca97005c68f1206823815f66102863,598,274,1,166
3435c378bb76d4357324dd7e69f3cd18,599,274,1,166
8a0e1141fd37fa5b98d5bb769ba1a7cc,697,302,2,
afd4836712c5e77550897e25711e1d96,699,302,2,
e5841df2166dd424a57127423d276bbe,700,302,2,
b9228e0962a78b84f3d5d92f4faa000b,412,187,1,
1068c6e4c8051cfd4e9ea8072e3189e2,410,186,1,
a666587afda6e89aec274a3657558a27,326,140,12,274
b4a528955b84f584974e92d025a75d1f,701,302,2,
45645a27c4f1adc8a7a835976064a86d,626,279,1,100
24146db4eb48c718b84cae0a0799dcfc,1026,415,1,
9edda0fd4d983bf975935cfd492fd50b,3462,738,1,100
73c03186765e199c116224b68adc5fa0,3463,738,1,100
51e6d6e679953c6311757004d8cbbba9,3464,739,1,100
56503192b14190d3826780d47c0d3bf3,3460,737,1,100
677e09724f0e2df9b6c000b75b5da10d,824,352,1,155
795c7a7a5ec6b460ec00c5841019b9e9,826,353,1,155
fa3a3c407f82377f55c19c5d403335c7,827,353,1,155
c2626d850c80ea07e7511bbae4c76f4b,828,353,1,155
d554f7bb7be44a7267068a7df88ddd20,825,352,1,155
9cc138f8dc04cbf16240daa92d8d50e2,630,281,1,100
b7bb35b9c6ca2aee2df08cf09d7016c2,631,281,1,100
42e77b63637ab381e8be5f8318cc28a2,628,280,1,100
051e4e127b92f5d98d3c79b195f2b291,629,280,1,100
9c82c7143c102b71c593d98d96093fde,706,282,1,152
500e75a036dc2d7d2fec5da1b71d36cc,707,282,1,152
918317b57931b6b7a7d29490fe5ec9f9,287,128,100,
883e881bb4d22a7add958f2d6b052c9f,1027,416,20,370
2f29b6e3abc6ebdefb55456ea6ca5dc8,1168,513,1,138
77bdfcff53815626ecab7f6a1454f007,4876,1063,1,99
540ae6b0f6ac6e155062f3dd4f0b2b01,1439,542,1,360
8f121ce07d74717e0b1f21d122e04521,268,97,10.68,269
185c29dc24325934ee377cfda20e414c,627,279,1,100
d8e1344e27a5b08cdfd5d027d9b8d6de,2771,592,1,340
b71155d90aef3bc38cb92db5a9afe4ce,4877,1063,1,99
abd815286ba1007abfbb8415b83ae2cf,632,282,1,171
26dd0dbc6e3f4c8043749885523d6a25,633,282,1,171
93d65641ff3f1586614cf2c1ad240b6c,1022,413,50,250
6766aa2750c19aad2fa1b32f36ed4aee,634,282,1,171
ce5140df15d046a66883807d18d0264b,1023,413,10,274
ce78d1da254c0843eb23951ae077ff5f,829,354,1,155
8e82ab7243b7c66d768f1b8ce1c967eb,830,354,1,155
e0ec453e28e061cc58ac43f91dc2f3f0,831,354,1,155
291597a100aadd814d197af4f4bab3a7,642,284,1,205
eaae339c4d89fc102edd9dbdb6a28915,653,286,1,100
9b698eb3105bd82528f23d0c92dedfc0,643,284,1,205
208e43f0e45c4c78cafadb83d2888cb6,1143,498,50,250
22fb0cee7e1f3bde58293de743871417,870,374,15,339
d516b13671a4179d9b7b458a6ebdeb92,879,374,2,162
07c5807d0d927dcd0980f86024e5208b,713,303,1,
43feaeeecd7b2fe2ae2e26d917b6477d,872,374,30,366
a7d8ae4569120b5bec12e7b6e9648b86,1176,515,1,361
4aa0e93b918848be0b7728b4b1568d8a,3061,594,20,
1aa057313c28fa4a40c5bc084b11d276,3062,594,20,
a532400ed62e772b9dc0b86f46e583ff,637,283,1,172
d714d2c5a796d5814c565d78dd16188d,4147,928,1,396
810dfbbebb17302018ae903e9cb7a483,4148,928,1,396
39059724f73a9969845dfe4146c5660e,270,98,5,274
9701a1c165dd9420816bfec5edd6c2b1,1401,540,1,363
28fc2782ea7ef51c1104ccf7b9bea13d,1402,540,1,363
ae0eb3eed39d2bcef4622b2499a05fe6,708,303,1,
1ecfb463472ec9115b10c292ef8bc986,709,303,1,
e70611883d2760c8bbafb4acb29e3446,710,303,1,
6081594975a764c8e3a691fa2b3a321d,711,303,2,
19bc916108fc6938f52cb96f7e087941,712,303,2,
d14220ee66aeec73c49038385428ec4c,714,303,2,
3f5ee243547dee91fbd053c1c4a845aa,3058,594,10,
6bc24fc1ab650b25b4114e93a98f1eba,736,317,1,100
a5cdd4aa0048b187f7182f1b9ce7a6a7,737,280,1,100
e995f98d56967d946471af29d7bf99f1,734,277,1,100
443cb001c138b2561a0d90720d6ce111,648,285,1,166
55b37c5c270e5d84c793e486d798c01d,649,285,1,166
f9028faec74be6ec9b852b0a542e2f39,838,357,1,
3a066bda8c96b9478bb0512f0a43028c,661,290,1,171
be3159ad04564bfb90db9e32851ebf9c,662,290,1,171
8757150decbd89b0f5442ca3db4d0e0e,663,290,1,171
cc431fd7ec4437de061c2577a4603995,3059,594,20,
0a5c79b1eaf15445da252ada718857e9,3060,594,20,
8c7bbbba95c1025975e548cee86dfadc,644,284,1,205
5e9f92a01c986bafcabbafd145520b13,645,284,1,205
0ff39bbbf981ac0151d340c9aa40e63e,646,284,1,205
303ed4c69846ab36c2904d3ba8573050,647,284,1,205
83f97f4825290be4cb794ec6a234595f,1177,515,1,361
1bd4b29a8e0afccd9923fe29cecb4b29,3063,594,15,
494ba9ff03bdad881378a6fd4092a6c7,3064,594,30,
f60ce002e5182e7b99a8a59b6d865a12,4282,956,20,
50c3d7614917b24303ee6a220679dab3,718,303,2,
2afe4567e1bf64d32a5527244d104cea,719,303,2,
6cd67d9b6f0150c77bda2eda01ae484c,735,279,1,100
a8ecbabae151abacba7dbde04f761c37,808,346,8,369
6e7b33fdea3adc80ebd648fffb665bb8,807,346,8,138
edfbe1afcf9246bb0d40eb4d8027d90f,740,112,1,207
2e65f2f2fdaf6c699b223c61b1b5ab89,741,112,1,207
4588e674d3f0faf985047d4c3f13ed0d,1144,498,10,274
e94550c93cd70fe748e6982b3439ad3b,742,112,1,207
866d90e0921ac7b024b47d672445a086,3865,842,20,391
8df707a948fac1b4a0f97aa554886ec8,715,303,2,
e7f8a7fb0b77bcb3b283af5be021448f,716,303,2,
788d986905533aba051261497ecffcbb,717,303,1,
5c572eca050594c7bc3c36e7e8ab9550,743,112,1,207
217eedd1ba8c592db97d0dbe54c7adfc,738,318,1,207
df263d996281d984952c07998dc54358,739,318,1,207
68d3743587f71fbaa5062152985aff40,4893,1072,50,252
a732804c8566fc8f498947ea59a841f8,4281,956,20,334
b1563a78ec59337587f6ab6397699afc,1088,454,8,138
8b4066554730ddfaa0266346bdc1b202,1090,455,61,336
0f96613235062963ccde717b18f97592,639,283,1,172
4ffce04d92a4d6cb21c1494cdfcd6dc1,640,283,1,172
67e103b0761e60683e83c559be18d40c,641,283,1,172
754dda4b1ba34c6fa89716b85d68532b,1091,455,88,337
9246444d94f081e3549803b928260f56,1006,400,47.4,268
d7322ed717dedf1eb4e6e52a37ea7bcd,1007,400,5,274
04c6906524cd877e833fe26ddaddc62f,4776,1045,76,444
dd77279f7d325eec933f05b1672f6a1f,1116,484,20,
0eec27c419d0fe24e53c90338cdc8bc6,1117,484,30,
c7635bfd99248a2cdef8249ef7bfbef4,1124,485,16,307
c21002f464c5fc5bee3b98ced83963b8,1125,485,20,334
08d98638c6fcd194a4b1e6992063e944,682,274,1,205
24681928425f5a9133504de568f5f6df,683,274,1,205
556f391937dfd4398cbac35e050a2177,684,274,1,205
a26398dca6f47b49876cbaffbc9954f9,1087,454,8,205
3328bdf9a4b9504b9398284244fe97c2,685,274,1,205
109a0ca3bc27f3e96597370d5c8cf03d,686,274,1,205
185e65bc40581880c4f2c82958de8cfe,746,321,1,145
