dim_isrc_sk,hg_stock_id,isrc
06dac7287cdc6dfa517a7167683007ad,P(4_B_O)_C2502_IH0325_04,QT2WN2501017
74a73121c02a390a288ed6a634abee10,P(4_B_O)_C2502_IH0325_05,QT2WN2501018
8bd7658b5a85d17be9a3f7aeb1b96edf,P(4_B_O)_D2502_IH0325_01,QT2WN2501019
e5cf7f2453d5381cd4a61e8fe8350a0b,P(4_B_O)_D2502_IH0325_02,QT2WN2501020
f271b59de56cae9ed85cad911b242fa4,P(4_B_O)_D2502_IH0325_03,QT2WN2501021
c283d825f02b8a26a9056b95ccec28b7,P(4_B_O)_D2502_IH0325_04,QT2WN2501022
aa7b6d88dab38815a0940a712f77d056,P(4_B_O)_D2502_IH0325_05,QT2WN2501023
93ca5cbee70b0bf87a385637fffe9f14,CLBC(1_B_O)_A2503_HNDT6_09,QT2WN2501032
35c08947b9c5bef488345a6169c5f0ee,CLBC(1_B_O)_A2503_ĐXB6_10,QT2WN2501049
717b4ce6a42b132c3219caaf224c939e,CLBC(1_B_O)_A2503_ĐXB6_12,QT2WN2501051
e136eadd9dc59910d0f1ca4ed51bc55f,CLBC(1_B_O)_A2503_ĐXB6_13,QT2WN2501052
6483d5d0bad8d741d636f29db0ea3924,CLBC(1_B_O)_A2503_ĐXB6_14,QT2WN2501053
1f6fb9d2e99664840951e0c24bdb7f12,CLBC(1_B_O)_A2503_ĐXB6_15,QT2WN2501054
3599983cc648de0198a0f5f7f91b9ee6,CLBC(1_B_O)_A2503_ĐXB6_17,QT2WN2501056
6edec001a9b9c5137e276ad7cc1f4533,P(2_B_O)_A2502_ĐTT01_01,QT2WN2501057
0429c176e887e8494dbf58eeac5cce95,P(2_B_O)_A2502_ĐTT01_02,QT2WN2501058
489724f20d47df76a2694d2750fe164f,P(2_B_O)_A2502_ĐTT01_03,QT2WN2501059
6f10b48ded96882c47a0bd2a10bd2e86,P(2_B_O)_A2502_ĐTT01_04,QT2WN2501060
339e9f78d5add6d7e71d1a4cb440f7e8,P(2_B_O)_A2502_NVL01_01,QT2WN2501061
0f7234a4687a0ccacf4d0b4ca5381b8a,P(2_B_O)_A2502_NVL01_02,QT2WN2501062
8e5e4070f822dbfe67dbc425b843aa09,P(2_B_O)_A2502_NVL01_03,QT2WN2501063
20ed741d8aa5ef09341d4cb0d4c49b01,P(2_B_O)_A2502_NHCB01_01,QT2WN2501064
