ResourceFileInfoId,ToStatus,_source_id,_source_connection
1165ce6a-9e22-47d9-b972-ec2dcf62a54e,Archived,resource_storage_history,hg_stock
8b4def43-518d-4546-806c-68ac4df6b4ab,Archived,resource_storage_history,hg_stock
1ce39c1d-3bca-4be1-8015-3194267e78d9,Archived,resource_storage_history,hg_stock
1ddf76ef-33a9-401b-b1c4-8c12867526aa,Archived,resource_storage_history,hg_stock
70cb7a69-0cf8-4c06-835b-071f0bbc0a72,Active,resource_storage_history,hg_stock
8dd3fea4-3a0c-416a-bebe-524f23f8e604,Archived,resource_storage_history,hg_stock
9598f7a8-9992-45d2-9c21-f0e53a2b2a15,Archived,resource_storage_history,hg_stock
7c3fe4f1-61ca-400d-b481-97e498af83bb,Archived,resource_storage_history,hg_stock
285c4ae1-a227-489a-bacd-46c98caf4a36,Archived,resource_storage_history,hg_stock
b7f29e08-a93a-4844-b995-55dc46fdc562,Archived,resource_storage_history,hg_stock
781f159a-349d-46b5-bc3a-de24d1607fb3,Archived,resource_storage_history,hg_stock
702f296a-8d2b-433f-8e0c-3c42caef081a,Archived,resource_storage_history,hg_stock
4a54d80e-7346-430b-8a9b-7e07c46ae90d,Archived,resource_storage_history,hg_stock
75e19d12-02fe-4b55-995d-e78755e325a9,Archived,resource_storage_history,hg_stock
fbf284a7-d1d8-4a35-afbe-f83894561154,Archived,resource_storage_history,hg_stock
a6b56124-b228-425f-8d21-30e661fe3664,Archived,resource_storage_history,hg_stock
c5b5f56b-f6a4-4afd-8b47-9eac59138f73,Archived,resource_storage_history,hg_stock
0aee29d8-52c5-44bc-9135-a83e7d22f3d9,Archived,resource_storage_history,hg_stock
56fc6f75-93f8-4573-a65f-694f0f98ee9b,Archived,resource_storage_history,hg_stock
6ab9dfeb-618e-4eff-ab02-14ec5bf85e05,Archived,resource_storage_history,hg_stock
3ff9aebe-53cf-4e66-8e3d-97119c486e63,Archived,resource_storage_history,hg_stock
10105d0a-8148-4185-be98-93ed88e5a8fc,Archived,resource_storage_history,hg_stock
658ac32a-70d6-4873-a99d-03a506a22a35,Archived,resource_storage_history,hg_stock
4ceb056b-7557-4e05-9673-e6736186bf55,Archived,resource_storage_history,hg_stock
6e901dfb-8730-47c9-b311-618cdd162d87,Archived,resource_storage_history,hg_stock
2620575c-0437-499e-8792-328eed3904fd,Archived,resource_storage_history,hg_stock
f64e079f-9c41-431e-bf31-57798fe3bba0,Archived,resource_storage_history,hg_stock
e406366c-8d9c-427f-ac3d-70a70acecaf3,Archived,resource_storage_history,hg_stock
56f4c5ea-d2cd-4dfc-8222-338936f7b3c7,Archived,resource_storage_history,hg_stock
efc0d5d4-33f2-4b10-9e90-5a169c926576,Archived,resource_storage_history,hg_stock
ca3c7ac6-2cb5-4d6c-a24b-32d725d90f62,Archived,resource_storage_history,hg_stock
58b0078a-8dd3-46fb-ba3a-0ae7f7075911,Archived,resource_storage_history,hg_stock
54b4ef44-0db8-4d94-99ab-f9a2ab781be3,Archived,resource_storage_history,hg_stock
e8f7075a-efb1-431d-bc97-91bc6b92a8cd,Archived,resource_storage_history,hg_stock
2607f95d-269f-41d4-a97e-256f385481ab,Archived,resource_storage_history,hg_stock
460ee7bf-898e-4afe-a749-b041e56bddf4,Archived,resource_storage_history,hg_stock
77318c17-cd66-42b3-b42e-dc54c7b9884c,Archived,resource_storage_history,hg_stock
98d08368-f0fb-4e56-b048-b5aad2277d79,Archived,resource_storage_history,hg_stock
fc290ee6-e71e-4ebf-b028-ca39b63661d7,Active,resource_storage_history,hg_stock
3d29822a-e19f-40cb-82b6-e14aac4a00b1,Archived,resource_storage_history,hg_stock
6f24fb78-6fc3-40d9-87f0-9fdcd376e55d,Archived,resource_storage_history,hg_stock
8b3d9c51-549b-4ccc-84fd-b61c2ca9cd54,Archived,resource_storage_history,hg_stock
a1c9bb34-4581-4f07-be42-cde00ccf12f2,Archived,resource_storage_history,hg_stock
e666859a-baf1-4325-ab57-bdefa70d35c0,Active,resource_storage_history,hg_stock
9761a1a5-52c6-4391-9b41-739154dfef33,Archived,resource_storage_history,hg_stock
10e45a71-8a28-4546-affd-9d7e63b3e8e5,Archived,resource_storage_history,hg_stock
b5289258-b2a4-402f-991c-55feacccdc23,Archived,resource_storage_history,hg_stock
03599ac8-d66d-465d-9659-30061ea979c3,Archived,resource_storage_history,hg_stock
768c0f81-f37e-4651-a535-47ef7cae6da1,Archived,resource_storage_history,hg_stock
89339bd3-102a-46dd-930d-21271e05b64d,Archived,resource_storage_history,hg_stock
eb3af8d4-e58a-49e6-8686-4e33be554e0f,Archived,resource_storage_history,hg_stock
ae3852b2-1f9c-4aba-81b7-ae974795867c,Archived,resource_storage_history,hg_stock
2e14e9f7-8589-4119-9d3f-4cc3f113f0aa,Archived,resource_storage_history,hg_stock
9dbe9046-6849-4e74-82a7-fa71eda58030,Archived,resource_storage_history,hg_stock
edbd3cb6-c795-4623-b5e9-d9a5391c266c,Archived,resource_storage_history,hg_stock
7837fea8-608d-45b3-bb11-e4acceb11535,Archived,resource_storage_history,hg_stock
07f73c0b-421c-4fd0-ac9d-42b93c0d144e,Archived,resource_storage_history,hg_stock
2d83e1ca-666e-40b0-8c49-fadd0fa7e4be,Archived,resource_storage_history,hg_stock
