fact_editing_sk,editing_id,editing_code,hg_stock_id,position,duration
9fa23c5b649f083c27d37fced942403a,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA3626FFB5ECCF459581D11D59CFC7DD19,2,136636
3d2f720455948f05087797b6110f2eac,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA10B1EECACA6D4CB981DB1CFA69C2C7D4,3,235202
8bdda4d85d50c4bfdff3dab558d7dcb2,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA4C1E89FA521E4DF9A2C25CE6CC3F38B4,4,212212
e6a6ef13bafed2b565db3e992df82cff,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFAD6205A8B79B44938BEB76BDCA455A0E0,5,127995
74b196444ab84fe5f8f4f97dbfdc3a88,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFAA56F7E8155FC449684658607F50283B6,6,186853
28178e1852ba286459c69b0f53eb76e9,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA28252FD8CD934C55928F63B34DF4A777,7,186119
4573163a1ea9ae030efc133d3ad27ca7,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA6C99A45ABCF5423790B2B94F9C8DB2B2,8,160093
ae43d7e88c2498734a76cc53c8a9531c,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA0C236A8F194D469ABE52D6B26BE580B5,9,179680
d01b317f4b55ffd6c5b8fcb8d133c6b2,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA3246C50CA20148409A75879DB232169F,10,222422
dabecfde6781c09bd810e996ff256d9c,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA90711361D92C40FCAE2AB47F13E515A2,11,162362
3d99adf89d733eb468b47b76ad60c872,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA75FF3885FC654DFBA3656E8B4CBB1309,12,131732
c396c257d8bade957cdd8491061be332,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA75FF3885FC654DFBA3656E8B4CBB1309,13,131731
afaa0f1bc0b18e450a103e1fcc0c8235,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA53A7ECA0FF734A408043136FD8045B5C,14,242443
7434eae2f5c68938cc14bc1d107893fd,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA06A93191217948249EA1AEC157FE8F00,15,187020
759a09c6c9af6f3af68ac6090ac89413,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA6A8A18882ADB4B82BAFE4B4036E4280D,16,170203
4fb39d5ebf8b71d712c38912c9a06cc1,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA7BF1063952C142369019377333C0648D,17,120120
cbbbcb67d5c4b26bdec4ae5e3a91b0ac,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA36700E2D15A74AEC9D676AD9F58C9E99,18,176777
9df21bbf0b29be3aa2f7a44a56871e39,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA56F744761399466B8D8C2921BAB4F944,19,180180
fc0b9876b32ef63304509b7cc6cfece7,d0f54e27-eb2e-427c-9e6b-af112dcbd96f,HGED22E4E3FEAA4E4D1994C4FADF8FBA0A76,HGFAB1D2F072B10B42F095850BECA7DD01A8,1,331200
4cc1b15ceb9f70e3ee04a4a56f803d5c,d0f54e27-eb2e-427c-9e6b-af112dcbd96f,HGED22E4E3FEAA4E4D1994C4FADF8FBA0A76,HGFAB1D2F072B10B42F095850BECA7DD01A8,2,330700
14186bd455eacf9f6b89410852182297,d0f54e27-eb2e-427c-9e6b-af112dcbd96f,HGED22E4E3FEAA4E4D1994C4FADF8FBA0A76,HGFAB1D2F072B10B42F095850BECA7DD01A8,3,330533
84d616051ba49c61c99f8e17b37ff778,d0f54e27-eb2e-427c-9e6b-af112dcbd96f,HGED22E4E3FEAA4E4D1994C4FADF8FBA0A76,HGFAB1D2F072B10B42F095850BECA7DD01A8,4,332867
a876f62c9d98327a1db734af06d95d6e,d0f5c7c4-6d7b-4fa0-84da-4e619936dd1d,HGEDBDE17DA026BE4EF4B2D4B1AD5F35473A,HGFA327CD4DBFB7F4C8B9D1084D228E23243,1,370833
0e492ce92d25d5e4f97dcddac5045674,d0f5c7c4-6d7b-4fa0-84da-4e619936dd1d,HGEDBDE17DA026BE4EF4B2D4B1AD5F35473A,HGFAE147F988E4344F4493E18B8A2F117F92,2,239867
3cfc8c50be082decb2405458e3bad363,d0f5c7c4-6d7b-4fa0-84da-4e619936dd1d,HGEDBDE17DA026BE4EF4B2D4B1AD5F35473A,HGFAD8078D9F66134B1C9D94FB60EFEAB742,3,311800
fe07e3f820bcb81060bb177d5c0824d4,d0f5c7c4-6d7b-4fa0-84da-4e619936dd1d,HGEDBDE17DA026BE4EF4B2D4B1AD5F35473A,HGFA1E943119BB884E54A16865297393A3E1,4,326600
