fact_khsx_detail_sk,production_plan_detail_id,production_plan_id,production_manager,ar_manager,status
8e98d81f8217304975ccb23337bb5761,307,9,33,38,draft
cfa0860e83a4c3a763a7e62d825349f7,259,9,31,37,draft
a67f096809415ca1c9f112d96d27689b,858,10,33,44,draft
dc912a253d1e9ba40e2c597ed2376640,385,9,31,40,draft
39461a19e9eddfb385ea76b26521ea48,386,9,31,40,draft
1706f191d760c78dfcec5012e43b6714,3084,45,33,35,draft
e836d813fd184325132fca8edcdfb40e,466,9,33,43,draft
2823f4797102ce1a1aec05359cc16dd9,756,10,32,39,draft
f1c1592588411002af340cbaedd6fc33,777,10,30,40,draft
4e0928de075538c593fbdabb0c5ef2c3,774,10,32,40,draft
c0f168ce8900fa56e57789e2a2f2c9d0,775,10,32,40,draft
f2201f5191c4e92cc5af043eebfd0946,767,10,32,39,draft
3a835d3215755c435ef4fe9965a3f2a0,768,10,32,39,draft
d840cc5d906c3e9c84374c8919d2074e,765,10,32,39,draft
959a557f5f6beb411fd954f3f34b21c3,766,10,32,39,draft
288cc0ff022877bd3df94bc9360b9c5d,769,10,32,39,draft
b7ee6f5f9aa5cd17ca1aea43ce848496,771,10,32,39,draft
e57c6b956a6521b28495f2886ca0977a,772,10,32,39,draft
8fb5f8be2aa9d6c64a04e3ab9f63feee,1443,19,33,38,draft
6cdd60ea0045eb7a6ec44c54d29ed402,184,9,32,3233,draft
4c5bde74a8f110656874902f07378009,182,9,32,3233,draft
a0160709701140704575d499c997b6ca,1099,12,30,35,approved
389bc7bb1e1c2a5e7e147703232a88f6,508,9,33,45,draft
2d6cc4b2d139a53512fb8cbb3086ae2e,507,9,33,45,draft
afe434653a898da20044041262b3ac74,1444,19,33,38,draft
571e0f7e2d992e738adff8b1bd43a521,1132,12,30,40,draft
8597a6cfa74defcbde3047c891d78f90,1119,12,30,38,draft
caf1a3dfb505ffed0d024130f58c5cfa,321,9,33,38,draft
8efb100a295c0c690931222ff4467bb8,387,9,31,40,draft
8e2cfdc275761edc592f73a076197c33,1266,13,30,35,draft
b51a15f382ac914391a58850ab343b00,1267,13,30,35,draft
f4573fc71c731d5c362f0d7860945b88,1260,12,30,44,draft
7810ccd41bf26faaa2c4e1f20db70a71,1272,13,31,36,draft
ab1a4d0dd4d48a2ba1077c4494791306,1278,13,32,47,approved
d9fc5b73a8d78fad3d6dffe419384e70,388,9,31,40,draft
289dff07669d7a23de0ef88d2f7129e7,234,9,33,36,draft
41bfd20a38bb1b0bec75acf0845530a7,1094,12,32,3233,draft
7f24d240521d99071c93af3917215ef7,551,9,33,47,draft
11b921ef080f7736089c757404650e40,556,9,33,47,draft
6e2713a6efee97bacb63e52c54f0ada0,557,9,33,47,draft
1bb91f73e9d31ea2830a5e73ce3ed328,558,9,33,47,draft
ca46c1b9512a7a8315fa3c5a946e8265,214,9,31,35,draft
979d472a84804b9f647bc185a877a8b5,213,9,31,35,draft
e96ed478dab8595a7dbda4cbcbee168f,218,9,31,36,draft
c0e190d8267e36708f955d7ab048990d,219,9,31,36,draft
9872ed9fc22fc182d371c3e9ed316094,186,9,32,3233,draft
9c82c7143c102b71c593d98d96093fde,706,10,32,37,draft
15de21c670ae7c3f6f3f1f37029303c9,555,9,33,47,draft
97e8527feaf77a97fc38f34216141515,544,9,33,47,draft
647bba344396e7c8170902bcf2e15551,545,9,33,47,draft
