id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
103,10,1,0,1,,,,6,6,"{""en_US"": ""Audio Engineer"", ""vi_VN"": ""Audio Engineer""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
113,10,2,1,1,,,,6,6,"{""en_US"": ""Assistant To Chairman"", ""vi_VN"": ""Assistant To Chairman""}",,,t,2025-09-10 16:12:13.928772,2025-12-07 12:14:56.654636,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
95,10,1,0,1,,,,6,2408,"{""en_US"": ""Line Producer"", ""vi_VN"": ""Line Producer""}",,,t,2025-09-10 14:36:42.390294,2025-12-17 09:28:08.928689,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
126,10,1,0,1,,,,6,6,"{""en_US"": ""Content Marketing Intern"", ""vi_VN"": ""Content Marketing Intern""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
94,10,2,1,1,,,,6,6,"{""en_US"": ""Nhân viên Quay chụp"", ""vi_VN"": ""Nhân viên Quay chụp""}",,,t,2025-09-10 14:21:40.31826,2025-09-11 15:03:25.148082,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
96,10,1,0,1,,,,6,6,"{""en_US"": ""Producer"", ""vi_VN"": ""Producer""}",,,t,2025-09-10 14:38:57.275496,2025-09-12 08:15:13.344707,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
108,10,2,1,1,,,,6,6,"{""en_US"": ""Research & Development AI"", ""vi_VN"": ""Research & Development AI""}",,,t,2025-09-10 16:12:13.928772,2025-09-10 18:00:13.478399,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
111,10,2,1,1,,,,6,6,"{""en_US"": ""R&D AI"", ""vi_VN"": ""R&D AI""}",,,t,2025-09-10 16:12:13.928772,2025-09-10 18:00:13.478399,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
112,10,2,1,1,,,,6,6,"{""en_US"": ""Fullstack Developer"", ""vi_VN"": ""Fullstack Developer""}",,,t,2025-09-10 16:12:13.928772,2025-09-10 18:00:13.478399,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
33,10,4,3,1,,,,6,6,"{""en_US"": ""AI Visual Designer"", ""vi_VN"": ""AI Visual Designer""}",,,t,2025-08-18 17:36:45.959127,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
114,10,2,1,1,,,,6,6,"{""en_US"": ""Chairman"", ""vi_VN"": ""Chairman""}",,,t,2025-09-10 16:12:13.928772,2025-09-10 18:00:13.478399,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
135,10,2,1,1,,,,6,6,"{""en_US"": ""Driver"", ""vi_VN"": ""Driver""}",,,t,2025-09-10 16:12:13.928772,2025-09-10 18:00:21.858411,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
213,10,1,1,0,,1,,6,6,"{""en_US"": ""Executive Assistant to CEO"", ""vi_VN"": ""Executive Assistant to CEO""}",,,t,2025-09-21 13:51:45.585786,2025-09-21 13:52:00.649363,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
