id,project_id,product_genre_id,product_tmpl_id,sequence_id,create_uid,write_uid,order_type,name,subgenre_code,genre_code,description,brief_link,sample_link,note,create_date,write_date,seq,text_code,backstage_ok,temp_sequence_id,_source_id,_source_connection,_batch_id,_loaded_at
442,,,1118,,155,155,footage,BTS - FPV,False_B-F_171,,,,,,2026-02-27 07:05:11.425906,2026-03-03 06:37:22.371771,0,,t,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
441,,,1130,,155,155,footage,Raw Footage - FPV,False_RF-F_170,,,,,,2026-02-27 07:04:37.449953,2026-03-26 02:47:00.325309,0,,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
397,143,669,822,,4655,4655,video,Có nước,MTCX_139_CN_163,MTCX_139,,,,,2025-12-24 08:22:30.957037,2025-12-24 08:24:07.94653,163,,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
451,140,698,1125,586,441,440,music,Jazz House - 2 - Label | Brassa Style,JH2(L_B_O)_C,JH2(L_B_O),,,"<div data-oe-version=""1.2""><a href=""https://docs.google.com/spreadsheets/d/1dWG3p_b3N3EbtmVKEYbtkJFgYP6jcEN-Mo6pOfdXNnc/edit?gid=355420184#gid=355420184"">https://docs.google.com/spreadsheets/d/1dWG3p_b3N3EbtmVKEYbtkJFgYP6jcEN-Mo6pOfdXNnc/edit?gid=355420184#gid=355420184</a></div>",,2026-03-13 06:42:01.951937,2026-08-05 10:53:30.046692,0,C,f,649,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
398,143,669,827,,157,157,video,Mặt bàn,MTCX_139_MB_164,MTCX_139,,,,,2025-12-25 07:45:35.093798,2025-12-25 07:50:15.348849,164,,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
307,130,612,338,366,6,1,video,Standard,B_94_S_105,,,,,Tốc độ bình thường,2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,105,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
399,143,669,828,,157,157,video,Mapping,MTCX_139_M_165,MTCX_139,,,,,2025-12-25 07:46:14.42307,2025-12-25 07:50:15.348849,165,,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
452,112,718,1129,,441,6,music,Jazz - 2 - FM | Jazzhop,J2(F_V_O)_D,J2(F_V_O),,,"<div data-oe-version=""1.2""><a href=""https://youtu.be/xpzif2TaPFw?si=cbgjZ-92tj5nn9US"">https://youtu.be/xpzif2TaPFw?si=cbgjZ-92tj5nn9US</a></div>",,2026-03-17 07:16:25.72114,2026-06-08 01:37:45.039166,0,D,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
311,112,615,,362,6,1,video,Outdoor,ĐT_97_O_109,,,,<p>https://drive.google.com/file/d/1ugXf7119iNmK5mazhmU-D35nAiUcQyY4/view?usp=drive_link</p>,Đĩa than trong không gian rộng,2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,109,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
310,112,615,329,363,6,1,video,Indoor,ĐT_97_I_108,,,,,Đĩa than trong không gian hẹp,2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,108,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
309,96,614,,364,6,1,video,Varied models,D_96_VM_107,,,,,Thay đổi mẫu liên tục,2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,107,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
308,96,614,336,365,6,1,video,Fixed cast,D_96_FC_106,,,,,Không cần thay đổi mẫu liên tục,2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,106,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
269,,,415,379,6,1,footage,Final Footage - Gimbal,False_FF-G_68,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,68,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
267,,,,381,6,1,footage,Color-Graded Footage - Aqua,False_CF-A_66,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,66,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
266,,,,382,6,1,footage,Color-Graded Footage - Walk,False_CF-W_65,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,65,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
265,,,,383,6,1,footage,Color-Graded Footage - POV / Handheld Footage,False_CF-P/HF_64,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,64,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
264,,,413,384,6,1,footage,Color-Graded Footage - Fix,False_CF-F_63,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,63,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
263,,,,385,6,1,footage,Color-Graded Footage - Gimbal,False_CF-G_62,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,62,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
262,,,405,386,6,1,footage,Color-Graded Footage - Flycam / Drone,False_CF-F/D_61,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,61,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
261,,,,387,6,1,footage,Edited Footage - Aqua,False_EF-A_60,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,60,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
260,,,,388,6,1,footage,Edited Footage - Walk,False_EF-W_59,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,59,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
259,,,,389,6,1,footage,Edited Footage - POV / Handheld Footage,False_EF-P/HF_58,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,58,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
258,,,,390,6,1,footage,Edited Footage - Fix,False_EF-F_57,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,57,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
257,,,,391,6,1,footage,Edited Footage - Gimbal,False_EF-G_56,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,56,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
256,,,412,392,6,1,footage,Edited Footage - Flycam / Drone,False_EF-F/D_55,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,55,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
255,,,,393,6,1,footage,Raw Footage - Aqua,False_RF-A_54,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,54,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
254,,,,394,6,1,footage,Raw Footage - Walk,False_RF-W_53,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,53,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
253,,,,395,6,1,footage,Raw Footage - POV / Handheld Footage,False_RF-P/HF_52,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,52,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
252,,,322,396,6,1,footage,Raw Footage - Fix,False_RF-F_51,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,51,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
250,,,28,398,6,1,footage,Raw Footage - Flycam / Drone,False_RF-F/D_49,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,49,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
249,,,,399,6,1,footage,Original Footage - Aqua,False_OF-A_48,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,48,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
248,,,,400,6,1,footage,Original Footage - Walk,False_OF-W_47,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,47,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
247,,,,401,6,1,footage,Original Footage - POV / Handheld Footage,False_OF-P/HF_46,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,46,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
246,,,,402,6,1,footage,Original Footage - Fix,False_OF-F_45,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,45,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
245,,,552,403,6,1,footage,Original Footage - Gimbal,False_OF-G_44,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,44,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
244,,,551,404,6,1,footage,Original Footage - Flycam / Drone,False_OF-F/D_43,,,,,,2025-09-08 02:50:50.276771,2025-10-10 01:13:50.580926,43,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
