dim_net_sk,net_id,net_name
fdc6098cdab72ca8afde1fab2154c119,d4174f76-ae98-4620-8024-71efa5fc69b5,Adskimo LTD
14315bae4fce1a68bd60b213ec1a358e,d5a8714b-4654-46d0-82c9-01841376c5d2,ROUTENOTE
e081b7be35a0752c992d420271d57530,d6548d4b-3b00-4682-a4df-92245612d458,BANIJAY IBERIA MUSIC
76cbe0930f85c788b804f9b1436b7e68,d6869263-9b2c-42a9-98f4-98f81b824612,ZOOMIN AFFILIATE
7372f93dce397186472f64c38dec9920,d84e5a35-45d5-4b5b-9829-97264547b4c5,PT Suara Mas Abadi
6cf13d7d7e6f1f935cdc2e5617ac5900,d90ac5e8-b4a0-4b5f-bd8d-dbbe5fa50011,Thoughtful Global
5da44946e5d726f99c0c11c5e2f6f661,da115fb3-73a8-4734-ba6e-df4e901c2f08,Scale Lab
2d75da231181ba53805d10f65af73739,da1b607b-7b1c-43b2-bc00-eb36280aac01,MAD TV
582370a0e6d18f49a0aa05b7b4b68024,da613c5a-37bc-4e78-9d9d-7c4998e2214e,China (Zhejiang)Internatioanl Cooperation Zone For Film & TV
3abbb37a161d1dd8bb19c837f48e8731,dbb6deec-f785-4032-be04-2063d5812168,Brothers And Sons SRAV
92f405765aca7cad410ddc32e66fdd64,dc686b7e-5bdd-4319-a6bb-210d162fea38,Cat Music
65a7864ace0245af8d7eb87cacaf6326,dd5d28fb-7988-42e1-8443-40cfc4585b75,Special Effects Media
2c5ae4a961637feba5cc677a5e1c7de0,e019aa69-9d26-43ee-ae58-8de39e32a63f,YB MEDIA
97815b7aed005d4e8b8f9fca202c1714,e1c4ec1c-b16a-499e-aabf-621df96a69d6,BusinessOfCinema
cfba7cd29960b30eba0b2d24db66d09a,e4314a2e-872e-478a-a2a1-c2c3af4f416b,VIEENT
ec90f7d55229f39935761a269823242c,e4676702-f5b9-45b0-8f87-cf51665c321a,ACIFIN
9e30030f3aec2ae4bd113321b8d38f4a,e5674692-3a3d-4afe-98f8-a2287dd946cb,SCALE LAB
90057b36b9b8507a92675467c7e069b9,e6922f2e-fd0f-4dcb-8152-24b0f32b26b8,Spirit Digital Media
11b74b002633bac3058338141ec1a6c9,e7ff2a40-7387-435d-8e4f-c1646949d488,DANMARK MUSIC
8df8875d04256363076680175e00db4b,eb6c2ea2-df58-4139-a083-c772c04840fe,FMC MUSIC SDN BHD MALAYSIA
f4ad3073578249e3bccd4b7e42f0faa9,ee9c2ef5-5be6-4662-aa6e-0b7cecda5d92,Grand Technology
515b8509cdf5e9ab8c5d3579ce163225,f09850e3-8725-4ca6-9c48-d36a594ffeaf,THE DISTRICT
f857f839740b142b51827b0059c2dca1,f1d07761-b3be-4d05-a61c-5693210be69e,Eager Media
251525f4382be4d7f8097394438f6387,f4255664-32ca-44c3-9a53-42d9f5fca949,Landvogel TV
24da740da00841fc8f20ac60d7a4962e,f4bf0e84-8a3b-4674-9911-0dca5698f088,PT Suara Mas Abadi (FM)
1b3ca4442ff2a372737e42271cd6dcc0,f5aa1ec9-08f0-4d97-943a-23e69cfd0b67,MusicFactory
9a0f40040c12444b1d355d2d8b54b539,f675e58a-48c2-4bcc-9a83-5fcdf36cf272,Mova
2c798a2ce4084da8c79a59ca4c5a38d6,f7a6fefb-e432-43f7-ad04-12f196e5d757,WMNNSL
18cd693c26653fe85624b3bbc906b2a2,f7c75fe6-98bd-49c0-9429-0450730c5d22,Menta Music
449bf933a6a535265c5fd7b3c734e9a6,f88ea7db-8d78-4e5d-8374-db7f189e1ff1,The S&D Music Group
ba06cc92e2d4d926a17254582763595f,fa4c3af3-54e3-4b49-afff-3d1c690cda75,WMCN_Managed
09f02566437c3c73fb06b346cf7041d3,fc8b6368-4656-4cb2-8598-932701bae264,UNICORN BLACK
35b4af21535c1e7a9c932b9942d7ff57,fccc0591-e959-43cb-a2d8-62ca16075b08,HTB
fd14848bd78aedd7cacc2a6790339e05,fcd68df4-0f48-41b1-bf48-7635223ee31c,SVG
d943a615b07e12681d6e6f1eea2ab9d9,fdf3dd8d-68df-40be-aa84-7a90e25325b2,PT SUARA MAS ABADI
ceea93fa611a61df9b429310d45e74dd,fe0263dd-3a01-45d2-95e2-cc8fde1719b0,Famous ID
219ca48c064387b99609020fc83736e4,fe8e6b33-141c-4736-935b-fcbc495c8b85,EUPHORIA
eef6a38afcc6915110b6312a06ad52cd,ff01efe8-cfbe-4d09-86c6-ae98777db044,Special Effects Media
5e10a7e47dfc18f275cdc600a0c3f55a,ff94319d-64dc-4d24-aec6-41cf687c138d,Bzzz Entertainment
9df6684248e44e1e6bd9c479684bd2ec,fff0071d-5c7b-423a-a3a1-805c857c1ae5,Muse Network - E
6d26c83e2d98fb89a2ae292c61d05f74,fff5b751-07cd-401f-9cb2-a52a110c113b,Ohenemedia - Entertainment
